Ammonia MQ135,Co2,Alcohol,Methane,Hydrogen Sulfide,LPG,Hydrogen,Ammonia MQ137,label,Time,TVC
1.31,605.18,44.2,62.31,0.48,0.93,57.74,0.27,1,0.058055556,3.57
1.32,605.18,44.28,62.5,0.49,0.93,57.66,0.26,1,0.058333333,3.57
1.29,605.18,44.37,62.7,0.49,0.94,57.96,0.26,1,0.058611111,3.57
1.33,605.18,44.82,62.5,0.49,0.93,57.96,0.26,1,0.058888889,3.57
1.33,605.18,44.11,62.7,0.49,0.93,58.15,0.25,1,0.059166667,3.57
1.34,605.18,44.37,62.7,0.49,0.93,58.15,0.26,1,0.059444444,3.57
1.32,605.18,44.2,62.5,0.48,0.91,58.25,0.25,1,0.059722222,3.57
1.37,605.18,44.28,63.28,0.5,0.93,58.57,0.27,1,0.06,3.57
1.35,605.18,44.46,63.09,0.5,0.93,58.89,0.27,1,0.060277778,3.57
1.36,605.18,45.54,63.09,0.5,0.93,60.94,0.26,1,0.060555556,3.57
1.36,605.18,44.28,63.09,0.49,0.93,62.29,0.26,1,0.060833333,3.57
1.4,605.18,45.18,63.09,0.5,0.93,64.21,0.26,1,0.061111111,3.57
1.36,605.18,44.73,61.93,0.5,0.93,57.84,0.27,1,0.061388889,3.57
1.38,605.18,45,62.89,0.5,0.93,58.91,0.26,1,0.061666667,3.57
1.3,605.18,43.41,59.28,0.45,0.86,58.61,0.22,1,0.061944444,3.57
1.5,605.18,43.41,60.03,0.47,0.89,59.01,0.23,1,0.062222222,3.57
1.32,605.18,44.11,62.7,0.48,0.89,59.17,0.25,1,0.0625,3.57
1.36,605.18,44.46,62.7,0.5,0.92,60.86,0.23,1,0.062777778,3.57
1.3,605.18,44.46,67.07,0.49,0.92,54.68,0.25,1,0.063055556,3.57
2.12,605.18,45.72,65.25,0.51,0.95,54.16,0.3,1,0.063333333,3.57
2.4,605.18,45.72,65.05,0.52,0.95,51.68,0.28,1,0.063611111,3.57
2.2,605.18,45.9,65.05,0.51,0.94,52.44,0.27,1,0.063888889,3.57
2.02,605.18,45.9,55.64,0.52,0.95,52.94,0.28,1,0.064166667,3.57
2.17,605.18,46.26,65.05,0.5,0.95,53.16,0.28,1,0.064444444,3.57
2.15,605.18,45.99,64.66,0.53,0.97,53.69,0.29,1,0.064722222,3.57
2.08,605.18,46.63,65.85,0.52,0.98,53.9,0.27,1,0.065,3.57
2,605.18,46.63,65.45,0.53,0.99,54.34,0.29,1,0.065277778,3.57
1.89,605.18,45.18,64.66,0.51,0.96,54.72,0.26,1,0.065555556,3.57
1.32,605.18,46.26,65.05,0.53,0.97,50.45,0.27,1,0.065833333,3.57
2.32,605.18,46.35,65.25,0.53,0.99,55.84,0.27,1,0.066111111,3.57
1.11,605.18,46.91,66.26,0.54,1.01,63.43,0.29,1,0.066388889,3.57
1.25,605.18,46.45,65.45,0.54,1.01,59.15,0.28,1,0.066666667,3.57
1.27,605.18,46.45,65.45,0.54,1.01,58.43,0.27,1,0.066944444,3.57
1.33,605.18,46.81,65.85,0.54,1.02,58.09,0.28,1,0.067222222,3.57
1.35,605.18,46.54,67.27,0.54,1.02,57.96,0.28,1,0.0675,3.57
1.43,605.18,49.36,67.88,0.54,1.02,53.49,0.3,1,0.067777778,3.57
1.97,605.18,46.63,66.26,0.54,1.05,65.38,0.28,1,0.068055556,3.57
1.85,605.18,47,66.26,0.54,1.04,53.14,0.29,1,0.068333333,3.57
1.28,605.18,47,66.26,0.54,1.05,66.8,0.29,1,0.068611111,3.57
1.42,605.18,45.18,60.4,0.43,0.84,53.21,0.27,1,0.068888889,3.57
1.6,605.18,43.76,62.7,0.48,0.95,51.68,0.26,1,0.069166667,3.57
1.63,605.18,45,63.28,0.48,0.97,51.77,0.27,1,0.069444444,3.57
1.63,605.18,45.36,65.05,0.48,0.97,52.06,0.27,1,0.069722222,3.57
1.62,605.18,45.09,64.26,0.51,0.98,52.63,0.27,1,0.07,3.57
1.69,605.18,45.63,64.66,0.52,1.02,53.1,0.27,1,0.070277778,3.57
1.73,605.18,46.26,65.85,0.53,1.04,53.47,0.28,1,0.070555556,3.57
1.61,605.18,45.9,65.85,0.53,1.02,53.54,0.28,1,0.070833333,3.57
2.12,605.18,46.35,66.05,0.54,1.04,55.06,0.29,1,0.071111111,3.57
1.76,605.18,46.63,66.05,0.54,1.04,54.83,0.3,1,0.071388889,3.57
1.71,605.18,46.81,67.07,0.53,1.05,54.95,0.3,1,0.071666667,3.57
1.72,605.18,46.81,66.66,0.54,1.05,55.17,0.3,1,0.071944444,3.57
1.8,605.18,46.63,66.26,0.54,1.04,55.34,0.29,1,0.072222222,3.57
1.81,605.18,46.35,66.05,0.54,1.02,55.46,0.29,1,0.0725,3.57
1.83,605.18,46.63,66.26,0.54,1.06,55.48,0.28,1,0.072777778,3.57
1.83,605.18,47,66.66,0.54,1.05,55.74,0.29,1,0.073055556,3.57
1.84,605.18,46.63,66.46,0.55,1.05,55.84,0.28,1,0.073333333,3.57
1.84,605.18,46.72,66.26,0.55,1.05,55.94,0.3,1,0.073611111,3.57
1.84,605.18,46.81,66.26,0.53,1.05,55.95,0.29,1,0.073888889,3.57
1.84,605.18,46.91,67.47,0.55,1.06,56.03,0.29,1,0.074166667,3.57
1.84,605.18,46.72,65.85,0.55,1.06,56.15,0.28,1,0.074444444,3.57
1.86,605.18,46.81,67.07,0.55,1.05,56.13,0.28,1,0.074722222,3.57
1.87,605.18,46.91,66.26,0.55,1.05,56.3,0.29,1,0.075,3.57
1.87,605.18,47,66.26,0.55,1.06,56.34,0.28,1,0.075277778,3.57
1.87,605.18,46.81,66.26,0.55,1.06,56.4,0.29,1,0.075555556,3.57
1.84,605.18,46.81,67.88,0.55,1.06,56.42,0.31,1,0.075833333,3.57
1.86,605.18,46.81,67.68,0.56,1.05,56.45,0.31,1,0.076111111,3.57
1.85,605.18,46.91,67.27,0.56,1.05,56.47,0.29,1,0.076388889,3.57
1.86,605.18,47,66.26,0.56,1.06,56.51,0.27,1,0.076666667,3.57
1.86,605.18,46.45,66.26,0.55,1.05,56.57,0.29,1,0.076944444,3.57
1.87,605.18,47.18,65.65,0.55,1.06,56.53,0.29,1,0.077222222,3.57
